如皋飞的上海。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
帮我查一下ca1185是几点起飞的？,航班查询,INTENT_Apps_Flight_Search,任意组合查询
给我查一下最近兰州到深圳的飞机票的最低价是多少？,航班查询,INTENT_Apps_Flight_Search,任意组合查询
查一下北京去杭州晚上9点以后的机票。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
给我看哈成都到北京的航班。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
航班号3u85117。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
今天晚上9点以后北京飞往上海的机票。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
查询一下晚上9点以后北京到上海的机票。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
天上午11点去上海的航班。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
那个帮我查一下今天最早一班到上海的飞机。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
到武汉晚上9点以后的航班。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
帮我查一下早上成都到常州的飞机准点是几点到早上6:10的？,航班查询,INTENT_Apps_Flight_Search,任意组合查询
中秋去上海的飞机票。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
天上午10点杭州到北京的飞机票。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
我想第一到宜春飞深圳的机票帮我查一下。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
明天去北京的东航航班。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
我要订26号宁波到贵阳的飞机票。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
4月7号厦门到广河到杭州的机票。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
明天去北京的南航航班。,航班查询,INTENT_Apps_Flight_Search,任意组合查询
